lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,previous_cancellations,reserved_room_type,booking_changes,adr,total_of_special_requests,is_canceled
213,8,33,18,0,2,2,0,0,GBR,0,1,0,100.8,1,Y
143,9,39,21,1,4,2,0,0,GBR,0,1,0,129.6,2,Y
20,9,38,15,0,3,1,0,0,AGO,0,1,0,95.0,1,N
75,9,38,19,2,2,2,0,0,PRT,0,1,0,62.0,0,N
0,3,11,6,2,1,2,0,0,AGO,0,4,1,110.0,1,N
167,8,35,26,1,2,2,0,0,SVK,0,1,0,90.9,0,N
1,3,10,7,4,10,1,0,0,ITA,0,4,0,95.0,2,N
213,8,35,28,1,3,1,0,0,PRT,0,1,1,104.0,0,N
475,10,44,27,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
52,3,10,3,0,3,2,0,0,GBR,0,1,0,78.3,0,Y
35,9,40,26,1,0,2,0,0,ESP,0,1,0,99.0,0,Y
12,10,44,25,2,1,2,0,0,PRT,1,1,0,111.0,0,Y
110,4,17,26,1,4,2,0,0,NOR,0,1,0,100.8,0,Y
296,9,39,21,0,4,2,0,0,PRT,0,1,0,85.0,0,Y
372,7,29,14,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
0,6,22,3,0,1,2,0,0,US,0,1,0,106.28,0,N
140,4,17,28,2,2,2,0,0,FRA,0,1,2,130.0,2,N
69,5,21,22,1,3,2,0,0,BRA,0,4,0,205.2,0,Y
32,12,49,3,2,2,2,0,0,BEL,0,1,0,104.0,0,Y
18,12,51,18,0,1,1,0,0,PRT,0,1,0,74.0,0,N
13,3,11,14,0,2,1,0,0,PRT,0,Unknown,1,65.0,1,N
92,5,21,19,0,1,2,0,0,GBR,0,Unknown,0,135.0,0,N
180,3,11,15,0,3,2,0,0,FRA,0,Unknown,0,105.0,0,N
180,7,27,6,0,3,2,0,0,DEU,0,Unknown,0,89.1,0,Y
214,7,28,13,0,3,2,0,0,FRA,0,Unknown,1,99.9,1,N
299,8,33,12,0,2,2,0,0,PRT,1,Unknown,0,62.0,0,Y
140,11,47,18,0,3,1,0,0,PRT,0,Unknown,1,65.0,0,N
158,7,31,31,3,6,3,0,0,BEL,0,Unknown,0,132.5,1,N
130,9,40,29,0,3,2,0,0,NLD,0,4,1,139.5,2,N
174,5,21,23,0,3,2,0,0,GBR,0,1,1,99.0,1,N
137,8,33,18,0,1,3,0,0,GBR,0,4,1,195.0,1,N
118,6,24,6,1,3,1,0,0,PRT,0,1,2,110.0,1,N
114,5,21,16,1,1,2,0,0,DEU,0,1,0,94.5,0,N
10,5,21,21,1,0,2,0,0,FRA,0,4,1,170.0,1,N
80,2,9,27,1,3,2,0,0,ITA,0,1,0,74.8,1,Y
55,8,35,26,0,2,1,0,0,ESP,0,1,1,60.0,0,N
279,7,30,23,0,2,2,0,0,PRT,1,1,0,62.0,0,Y
117,10,44,29,2,3,2,0,0,GBR,0,4,0,122.94,1,N
73,4,14,2,2,2,2,0,0,DEU,0,1,0,80.75,0,N
39,6,24,11,2,2,2,0,0,PRT,0,1,0,112.0,3,N
61,9,36,5,2,2,2,0,0,PRT,0,1,0,62.0,0,Y
105,8,35,26,1,2,2,0,0,US,0,4,0,131.4,0,Y
137,1,5,27,0,2,1,0,0,PRT,1,1,0,70.0,0,Y
43,10,44,29,1,3,2,0,0,PRT,1,1,0,92.03,1,Y
105,10,42,12,0,3,2,0,0,PRT,0,1,0,75.0,0,N
205,8,34,25,0,1,2,0,0,DEU,0,1,0,99.0,0,N
149,8,33,17,0,2,1,2,0,PRT,0,1,0,152.5,1,Y
187,7,28,9,2,3,2,0,0,ROU,0,4,0,120.6,0,Y
36,9,40,28,0,3,1,0,0,DEU,0,1,2,76.0,0,N
43,5,19,10,0,1,2,0,0,ZAF,0,1,0,134.1,0,N
0,5,20,9,1,0,2,0,0,POL,0,1,0,89.0,0,N
178,8,33,10,0,4,2,0,0,BEL,0,1,0,89.25,0,Y
21,3,11,12,2,1,2,0,0,ESP,0,1,0,112.0,1,N
258,9,37,8,0,1,2,0,0,PRT,0,1,0,65.0,0,Y
41,3,12,22,0,3,2,0,0,BRA,0,1,1,75.0,0,N
49,5,19,6,0,2,2,0,0,ESP,0,1,0,85.0,0,N
256,6,25,15,0,2,2,0,0,DEU,0,1,0,112.0,1,N
462,7,26,1,2,1,2,0,0,GBR,0,1,0,112.67,1,N
43,6,25,20,1,5,1,0,0,US,0,1,1,101.33,1,N
4,4,14,8,2,1,1,0,0,DZA,1,4,0,110.0,0,Y
49,12,53,30,0,4,2,0,0,ITA,0,1,0,71.0,0,N
169,6,23,8,0,3,2,0,0,PRT,0,1,0,170.0,0,Y
87,4,15,15,2,2,2,0,0,PRT,0,1,0,95.0,0,Y
45,4,16,19,0,1,2,1,0,AUT,0,1,0,144.0,0,Y
243,7,30,26,0,4,2,0,0,PRT,0,1,0,110.0,0,Y
29,12,52,19,1,3,2,0,0,FRA,0,1,0,88.4,0,N
30,8,32,6,0,1,2,2,0,POL,0,6,2,216.9,1,N
175,7,27,6,0,3,2,0,0,DEU,0,4,0,117.9,0,Y
99,2,8,19,0,1,2,0,0,PRT,1,1,0,80.0,0,Y
155,12,53,29,2,3,2,2,0,GBR,0,6,0,148.58,1,Y
29,12,52,19,1,3,1,0,0,FRA,0,1,0,88.4,0,N
7,7,28,12,2,4,2,0,0,BEL,0,1,0,126.0,1,N
2,3,13,29,0,1,1,0,0,PRT,1,1,0,80.0,1,N
75,5,21,27,2,2,2,0,0,BEL,0,1,0,99.0,0,N
6,8,34,19,0,3,2,0,0,BEL,0,4,0,79.0,0,N
40,10,41,5,1,1,2,0,0,ITA,0,1,0,70.0,0,N
129,7,28,4,1,0,1,0,0,PRT,0,5,1,106.0,0,N
143,8,34,20,2,1,2,0,0,ESP,0,1,0,125.0,0,Y
52,3,11,13,1,1,1,0,0,PRT,0,1,0,80.0,0,Y
36,1,1,3,0,5,1,0,0,ESP,0,1,0,107.0,1,Y
3,9,39,19,1,2,1,0,0,PRT,0,4,0,110.0,0,N
48,5,22,24,0,2,2,0,0,PRT,0,4,0,140.4,1,N
151,1,4,19,0,3,1,0,0,PRT,0,1,0,80.0,0,Y
34,10,43,18,1,0,2,0,0,PRT,0,1,0,76.5,0,N
0,9,38,16,1,2,1,0,0,GRC,0,1,1,174.33,0,N
96,4,15,9,2,1,2,0,0,BEL,0,1,0,89.1,0,N
53,4,15,13,1,3,2,0,0,NLD,0,4,0,100.0,1,N
71,6,25,14,0,3,1,0,0,PRT,0,1,0,100.0,0,Y
178,4,18,28,0,3,1,0,0,PRT,1,1,0,100.0,0,Y
8,5,22,25,0,1,2,0,0,PRT,0,1,0,100.0,1,N
295,8,32,8,2,1,2,0,0,PRT,1,1,0,100.0,0,Y
74,4,15,9,2,1,2,2,0,PRT,0,6,1,100.0,0,N
274,4,15,7,0,2,2,0,0,PRT,0,1,0,100.0,0,Y
121,5,19,2,1,0,2,0,0,FIN,0,1,6,100.0,1,N
304,8,34,17,1,1,2,0,0,PRT,1,1,0,100.0,0,Y
17,1,5,29,2,4,3,0,0,TUR,0,5,0,100.0,1,Y
46,3,11,12,1,1,2,0,0,NZL,0,1,0,100.0,1,N
26,6,27,26,2,1,2,0,0,DEU,0,1,0,137.67,1,Y
300,8,33,13,0,2,2,0,0,PRT,1,1,0,62.0,0,Y
41,12,53,30,0,3,2,0,0,FRA,0,4,0,119.0,0,N
93,8,34,24,1,3,3,0,0,US,0,4,2,192.0,0,Y
94,4,18,28,0,2,2,0,0,DEU,0,1,0,111.6,0,N
80,9,40,26,1,2,1,0,0,DEU,0,1,0,0.0,0,N
23,1,1,2,2,1,2,0,0,ITA,0,1,0,109.0,0,N
11,12,52,19,1,2,1,0,0,FIN,0,1,0,86.0,0,N
31,10,44,27,0,3,2,0,0,THA,0,1,3,129.0,2,N
264,7,29,20,0,2,2,0,0,ISR,0,1,0,89.1,0,Y
69,6,25,12,2,4,1,0,0,PRT,0,1,0,120.0,0,Y
147,8,34,21,1,2,2,0,0,ESP,0,1,2,101.88,0,Y
82,3,10,8,0,4,2,0,0,ITA,0,1,0,74.8,0,N
261,10,42,16,0,1,2,0,0,PRT,1,1,0,120.0,0,Y
61,1,4,25,0,2,2,0,0,PRT,0,1,0,80.0,0,Y
226,7,28,9,2,1,2,0,0,PRT,0,1,0,110.0,0,Y
82,5,18,3,0,2,2,0,0,PRT,0,1,0,130.0,0,Y
315,4,17,29,1,1,2,0,0,DEU,0,1,0,99.0,1,N
121,5,20,14,1,1,2,0,0,PRT,0,1,0,96.0,0,Y
12,2,8,20,1,1,1,0,0,ESP,0,1,0,90.0,0,N
0,6,25,16,0,1,2,0,0,PRT,0,1,0,0.0,0,Y
121,6,27,26,2,5,2,0,0,PRT,0,1,0,95.81,0,N
130,3,11,14,2,5,2,0,0,DEU,0,1,0,93.6,2,Y
409,5,22,31,0,4,2,0,0,AUS,0,1,1,107.0,1,N
52,12,50,4,2,2,2,0,0,ITA,0,1,0,74.8,0,Y
101,4,15,4,1,2,2,0,0,PRT,0,1,0,80.0,0,Y
98,8,33,16,2,4,3,0,0,CHE,0,4,0,195.0,0,Y
214,6,23,9,1,2,2,0,0,GBR,0,4,1,118.13,0,N
16,12,50,8,0,2,2,0,0,PRT,0,1,0,75.0,0,N
245,6,25,17,0,2,2,0,0,PRT,0,1,0,75.0,0,Y
6,7,28,9,2,0,1,0,0,PRT,0,4,0,95.0,1,Y
69,4,17,22,1,2,2,0,0,FRA,0,4,0,118.8,0,Y
0,10,43,22,0,1,2,0,0,PRT,0,1,0,120.0,0,N
66,4,15,9,2,0,2,0,0,PRT,0,1,0,100.0,0,Y
287,7,30,23,2,1,2,0,0,PRT,1,1,0,95.4,1,Y
72,4,14,4,0,5,3,0,0,BEL,0,4,0,162.0,2,N
161,5,22,22,2,1,2,0,0,GBR,0,4,0,114.3,1,N
66,6,25,20,0,3,2,0,0,POL,0,4,0,170.0,1,N
58,4,17,21,2,3,2,0,0,FRA,0,5,0,96.08,0,N
115,3,13,20,2,0,1,0,0,PRT,1,1,0,70.0,0,Y
36,8,32,8,0,2,2,2,0,FRA,0,6,0,250.0,0,Y
66,9,38,15,0,2,2,0,0,CHE,0,4,0,149.4,0,Y
353,10,41,5,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
200,5,20,20,2,1,2,0,0,AUT,0,4,0,138.6,0,Y
117,3,13,28,0,3,3,1,0,ITA,0,5,0,145.2,0,N
229,10,43,21,2,2,2,0,0,NLD,0,1,0,80.75,2,N
302,8,33,15,2,2,2,0,0,PRT,1,1,0,62.0,0,Y
97,4,15,10,1,3,2,0,0,ESP,0,1,0,110.25,0,N
130,4,16,13,0,4,2,0,0,PRT,1,1,0,100.0,0,Y
56,5,23,30,1,0,1,0,0,PRT,0,1,0,120.0,0,Y
2,1,5,29,0,2,2,0,0,PRT,0,1,0,101.0,1,N
164,8,33,14,1,3,2,1,0,FRA,0,1,0,148.5,0,Y
60,11,47,18,1,2,2,0,0,BEL,0,1,0,93.6,1,N
275,10,41,5,1,4,2,0,0,PRT,0,1,0,90.0,0,Y
144,5,18,6,2,1,2,0,0,FRA,0,1,0,90.0,1,N
167,6,27,28,0,4,2,0,0,BRA,0,1,0,80.75,0,Y
174,7,31,31,1,3,2,0,0,ESP,0,4,0,184.5,0,Y
69,10,44,25,2,1,2,0,0,PRT,0,1,0,85.67,0,N
185,8,35,30,1,4,2,0,0,CHE,0,1,0,99.0,1,N
155,7,27,3,1,5,1,0,0,FIN,0,4,0,116.1,0,N
215,11,48,21,1,2,1,0,0,ROU,0,1,2,75.0,1,N
156,4,17,26,0,3,2,0,0,PRT,0,1,0,100.0,0,Y
312,8,35,25,0,4,2,0,0,PRT,1,1,0,62.0,0,Y
1,7,28,5,0,2,1,0,0,PRT,0,1,0,99.33,1,N
29,12,52,23,1,2,2,0,0,BEL,0,1,0,104.0,0,N
0,9,39,21,1,2,2,0,0,FRA,0,1,0,125.7,0,N
175,6,22,2,0,2,2,0,0,ESP,0,1,0,144.0,0,Y
131,8,35,27,2,3,2,0,0,DEU,0,4,0,89.1,0,N
16,5,20,19,1,2,1,0,0,POL,0,1,0,160.0,1,N
107,8,33,12,0,1,2,0,0,PRT,0,2,0,76.5,0,N
33,5,22,25,0,1,2,0,0,PRT,0,1,0,108.9,0,N
56,9,37,5,1,3,1,0,0,SWE,0,4,0,123.98,2,N
20,6,24,13,0,1,1,0,0,DEU,0,1,1,95.0,0,N
68,7,31,26,0,2,2,1,0,FRA,0,1,0,111.25,0,N
186,5,22,30,0,2,2,0,0,PRT,0,1,0,130.0,0,Y
14,8,32,9,0,3,4,0,0,PRT,0,7,0,275.9,0,N
384,7,30,20,0,2,2,0,0,PRT,0,1,0,65.0,0,Y
118,5,20,20,1,1,2,0,0,FRA,0,4,0,135.0,0,N
26,11,45,3,0,4,1,0,0,PRT,1,1,0,85.85,1,Y
183,10,42,11,0,1,1,0,0,FRA,0,1,0,98.1,0,Y
330,9,37,12,2,2,2,0,0,PRT,1,1,0,62.0,0,Y
297,8,33,10,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
136,2,6,9,1,3,2,0,0,BEL,0,1,0,74.8,3,Y
440,9,39,22,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
20,5,19,10,0,2,1,0,0,PRT,0,4,1,110.0,0,Y
230,9,37,6,0,5,1,0,0,FRA,0,1,0,111.0,0,N
62,4,14,6,0,3,1,0,0,PRT,0,Unknown,0,135.0,0,Y
29,1,1,4,0,3,2,1,0,DEU,0,Unknown,0,95.0,0,N
192,6,26,24,0,2,1,0,0,GBR,0,Unknown,0,95.0,0,N
115,3,13,20,2,0,1,0,0,PRT,1,Unknown,0,70.0,0,Y
176,4,15,9,1,1,2,0,0,PRT,1,Unknown,0,125.0,0,Y
71,11,45,3,0,3,2,0,0,ESP,0,Unknown,0,79.2,3,N
83,6,27,27,1,2,2,0,0,IRL,0,Unknown,0,74.1,0,N
41,3,12,13,2,1,2,0,0,POL,0,Unknown,0,85.67,0,N
278,3,12,25,2,1,2,0,0,PRT,0,Unknown,0,90.0,0,Y
175,8,36,31,0,4,2,0,0,SWE,0,Unknown,0,112.63,0,Y
54,3,14,28,1,4,2,0,0,FRA,0,5,0,95.36,0,N
71,9,39,22,0,3,1,0,0,DEU,0,1,1,85.0,0,N
323,5,22,26,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
59,4,18,28,0,3,2,0,0,CHE,0,1,0,80.75,0,N
122,5,20,12,0,3,2,0,0,DEU,0,4,0,121.5,1,N
138,8,34,22,2,1,2,0,0,ITA,0,1,0,94.5,0,Y
55,9,37,6,2,0,2,0,0,PRT,0,1,0,75.0,0,Y
35,5,19,10,0,1,2,0,0,PRT,0,1,0,130.0,0,Y
18,6,23,5,1,1,2,0,0,CHE,0,1,0,130.0,1,N
99,7,30,21,0,1,2,1,0,ESP,0,1,0,130.5,0,Y
206,6,27,30,1,3,2,0,0,US,0,5,0,101.83,0,N
60,9,36,2,0,2,2,0,0,BRA,0,4,0,123.3,0,Y
118,6,24,6,1,3,1,0,0,HUN,0,1,1,110.0,0,N
65,10,43,19,1,2,2,0,0,SWE,0,1,0,111.0,0,N
22,6,23,7,0,2,3,0,0,JPN,0,4,0,144.4,1,N
104,5,20,15,1,2,1,0,0,PRT,0,1,0,160.0,0,Y
52,4,15,11,0,3,2,0,0,PRT,0,1,0,100.8,1,Y
140,11,47,18,0,3,2,0,0,PRT,0,1,0,75.0,1,N
0,8,35,29,0,1,1,0,0,PRT,0,1,0,0.0,2,N
54,4,18,30,1,1,1,0,0,GBR,0,1,1,91.13,0,Y
71,11,47,19,2,2,2,0,0,PRT,0,1,0,88.4,1,Y
69,4,16,19,0,4,2,0,0,PRT,0,1,0,100.0,0,Y
103,4,17,19,0,2,1,0,0,PRT,0,1,0,115.0,0,Y
98,11,48,23,1,2,1,0,0,PRT,0,1,0,70.0,0,Y
0,9,39,22,0,1,2,0,0,PRT,0,1,0,0.0,0,N
38,12,53,31,0,3,2,0,0,FRA,0,1,0,118.0,1,N
87,1,2,5,0,5,2,2,0,PRT,1,6,0,153.0,0,Y
146,8,32,5,0,1,2,0,0,GBR,0,1,0,81.25,1,N
332,9,38,14,1,1,2,0,0,PRT,1,1,0,62.0,0,Y
10,4,16,16,2,2,3,0,0,DEU,0,5,0,250.0,2,N
198,5,21,20,0,1,1,0,0,PRT,0,1,1,57.5,0,Y
232,7,31,30,1,0,2,0,0,BGR,0,1,0,130.5,2,N
49,6,24,12,1,3,2,0,1,PRT,0,1,0,89.1,0,Y
130,5,19,5,0,3,2,1,0,ESP,0,1,2,104.4,1,N
141,6,24,16,1,2,1,0,0,PRT,0,4,0,104.0,0,Y
0,6,23,10,0,1,2,0,0,PRT,0,1,0,144.0,2,N
29,2,5,3,1,2,2,1,0,CHN,0,1,0,106.2,0,Y
46,3,11,10,0,2,1,0,0,NLD,0,1,2,82.9,1,N
4,3,13,26,0,1,3,0,0,KOR,0,4,0,187.0,1,N
33,6,25,19,1,1,1,0,0,GBR,0,4,2,150.0,1,Y
7,10,43,22,0,1,1,0,0,PRT,1,1,0,65.0,0,N
7,4,16,11,1,0,1,0,0,NLD,0,1,0,89.0,0,N
108,5,18,5,0,2,2,0,0,ESP,0,1,0,126.0,0,Y
29,2,8,19,2,2,2,0,0,GBR,0,1,0,85.0,1,N
63,8,31,5,2,3,2,0,0,DNK,0,1,0,160.0,1,Y
30,12,52,22,1,3,2,2,0,KOR,0,6,0,156.9,0,N
72,1,3,19,0,3,2,0,0,ITA,0,4,0,102.6,1,Y
74,5,20,19,1,2,1,0,0,GBR,0,1,0,144.0,0,N
74,12,52,22,2,5,2,0,0,PRT,0,4,0,70.88,1,Y
74,7,29,14,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
74,7,30,19,0,4,2,0,0,PRT,0,1,0,72.25,0,Y
74,12,50,9,0,2,1,0,0,PRT,0,1,0,62.0,0,N
74,11,45,3,0,2,2,0,0,PRT,0,1,0,62.8,0,Y
74,9,36,5,2,2,2,0,0,PRT,1,1,0,62.0,0,Y
74,9,37,9,0,2,2,0,0,PRT,1,1,0,62.0,0,Y
74,6,27,29,0,2,3,0,0,PRT,0,1,0,146.7,2,N
88,3,10,8,0,3,2,0,0,IRL,0,4,0,106.2,3,N
420,9,36,3,2,2,2,0,0,PRT,0,1,0,75.0,0,Y
302,8,33,15,2,2,2,0,0,PRT,1,1,0,62.0,0,Y
44,4,16,20,1,3,2,0,0,DEU,0,1,0,85.0,0,N
479,8,32,9,0,3,2,0,0,GBR,0,1,0,112.67,2,N
133,4,16,19,0,4,2,0,0,LTU,0,1,0,124.0,0,N
150,6,24,17,2,3,1,0,0,PRT,0,1,0,120.0,0,Y
3,12,50,5,1,0,1,0,0,PRT,0,1,0,67.0,1,N
106,8,33,13,2,3,2,0,0,FRA,0,1,2,154.0,1,N
20,12,52,21,2,4,2,0,0,ROU,0,4,0,96.9,2,N
99,6,25,19,1,2,2,0,0,FRA,0,1,0,126.0,0,Y
138,3,13,23,1,4,2,2,0,SWE,0,6,1,152.45,0,N
184,5,20,20,2,2,1,0,0,FIN,0,1,0,142.88,2,N
2,5,23,31,0,3,1,0,0,PRT,0,1,0,87.78,0,N
53,8,35,24,1,1,2,0,0,ESP,0,1,0,62.0,0,N
44,7,28,10,1,1,2,0,0,CN,0,1,0,80.1,2,N
1,3,10,11,0,1,2,0,0,BRA,0,1,0,74.48,0,N
309,5,20,12,0,2,2,0,0,PRT,0,1,0,62.0,0,Y
96,6,25,19,1,2,2,0,0,GBR,0,1,0,126.0,2,N
236,4,15,9,2,5,2,0,0,BEL,0,4,3,170.36,1,Y
163,12,53,26,1,2,3,0,0,US,0,4,0,122.4,2,N
90,3,10,7,0,3,2,0,1,BRA,0,4,3,106.2,3,N
115,3,13,20,2,0,1,0,0,PRT,1,1,0,70.0,0,Y
4,2,6,6,0,1,2,0,0,PRT,0,1,0,81.0,0,N
30,8,32,8,2,1,3,0,0,ITA,0,1,1,124.7,1,N
104,5,20,15,1,2,1,0,0,PRT,0,1,0,160.0,0,Y
156,4,17,26,0,3,2,0,0,PRT,0,1,0,100.0,0,Y
39,6,23,9,0,2,3,0,0,ESP,0,5,0,220.0,1,N
21,8,33,13,2,0,2,0,0,GBR,0,1,0,160.0,2,N
15,12,49,5,2,1,2,0,0,DEU,0,1,0,38.67,1,N
76,9,38,16,0,2,2,0,0,PRT,0,1,0,0.0,0,N
165,7,32,31,2,4,2,0,0,CN,0,1,0,72.25,2,N
3,9,39,24,2,4,1,0,0,PRT,0,1,1,170.0,0,N
