booking_id,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,total_guests,country,previous_cancellations,reserved_room_type,booking_changes,company,adr,total_of_special_requests,is_canceled
73153,287,8,33,16,0,1,2,0,0,2,DEU,0,1,0,,107.1,0,Y
49335,5,4,16,10,2,5,1,0,0,1,KWT,0,4,0,,138,0,Y
55111,159,8,32,5,0,1,1,1,0,2,PRT,0,1,0,,118.3,0,Y
58827,283,10,43,16,2,0,2,0,0,2,PRT,0,1,0,,96,0,Y
42244,80,9,36,3,1,3,2,0,0,2,PRT,0,1,0,,62.83,1,N
85432,0,3,12,15,0,0,2,0,0,2,PRT,0,1,0,,0,0,N
72205,197,7,30,23,2,1,3,0,0,3,CN,0,1,0,,130.5,0,Y
86688,55,4,15,6,0,1,2,0,0,2,PRT,0,1,0,,104,0,N
102085,58,11,48,20,2,1,2,0,0,2,FRA,0,1,0,,75,1,N
56375,29,9,37,4,2,0,2,0,0,2,US,0,4,0,,130.15,1,Y
66026,315,4,15,13,0,3,3,0,0,3,PRT,0,1,0,,144.8,0,Y
106415,12,2,8,22,0,3,2,0,0,2,NLD,0,1,1,,87.76,0,N
73487,52,8,34,24,0,2,2,0,0,2,DEU,0,1,0,,149,1,Y
42844,48,9,37,11,1,2,2,0,0,2,PRT,0,1,0,,60,0,N
116822,162,7,29,19,2,4,2,0,0,2,NLD,0,1,0,,75.65,1,N
105192,36,1,5,29,2,2,2,0,0,2,CHL,0,1,0,,97.3,2,N
105877,30,2,7,12,2,3,2,0,0,2,FRA,0,4,4,,127.59,1,N
59523,189,10,44,28,1,2,2,0,0,2,AUT,0,4,0,,109.8,0,Y
55272,5,8,33,9,0,3,2,0,0,2,ITA,0,1,0,,151,0,Y
60843,503,11,48,24,0,2,2,0,0,2,PRT,0,1,0,,62.8,0,Y
109820,145,4,15,14,1,2,2,0,0,2,FIN,0,4,0,,99.85,0,N
102640,313,12,49,1,0,3,2,0,0,2,GBR,0,4,0,,91.8,1,N
118947,31,8,34,26,0,1,2,0,0,2,DEU,0,1,1,,195,4,N
41119,41,8,33,12,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
117859,87,8,32,10,0,1,2,0,0,2,ESP,0,1,0,,134,1,N
83092,2,4,15,5,0,1,2,0,0,2,PRT,3,1,1,72,45,1,N
112971,2,5,22,28,2,1,1,0,0,1,BEL,0,4,0,153,110,0,N
99295,262,10,41,7,2,3,2,0,0,2,FRA,0,1,0,,100.3,1,N
91438,0,6,26,21,0,1,1,0,0,1,PRT,0,1,0,,129,1,N
74555,346,9,40,28,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
93937,67,7,31,24,2,3,2,0,0,2,ESP,0,1,0,,105.3,3,N
107648,32,3,11,13,1,2,1,0,0,1,DEU,0,1,0,,65.07,0,N
74540,339,9,39,21,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
102995,157,12,50,8,0,3,3,0,0,3,ITA,0,1,2,,92.65,0,N
70355,218,6,24,15,0,3,2,0,0,2,GBR,0,4,0,,130.5,1,Y
71063,141,6,26,27,2,5,1,0,0,1,PRT,0,1,0,,130,0,Y
78986,15,10,42,15,2,3,2,0,0,2,PRT,0,1,0,,142.6,1,N
70598,210,6,25,19,1,3,2,0,0,2,PRT,0,1,0,,130,0,Y
52224,330,6,23,2,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
117661,1,8,32,7,1,0,2,0,0,2,PRT,0,1,0,,160,0,N
78040,6,9,40,30,0,2,1,0,0,1,PRT,0,1,0,40,65,0,N
118855,115,8,34,20,2,4,1,0,0,1,AUT,0,1,0,,115,2,N
76212,151,7,30,25,2,1,2,0,0,2,PRT,1,1,0,,86,0,Y
78361,12,10,41,7,0,1,2,0,0,2,PRT,0,1,0,,119.7,0,N
63262,24,2,5,4,0,1,2,2,0,4,GBR,0,6,0,,188,0,Y
102062,46,11,47,18,2,3,2,0,0,2,BRA,0,1,0,,68.07,5,N
93248,147,7,29,15,2,2,1,0,0,1,AUS,0,1,0,,89.25,0,N
54213,10,7,28,9,0,1,2,0,0,2,US,0,4,2,,99.52,0,Y
67465,72,5,18,4,0,1,3,0,0,3,BRA,0,4,2,,189,0,Y
73283,213,8,33,18,0,2,2,0,0,2,GBR,0,1,0,,100.8,1,Y
57221,143,9,39,21,1,4,2,0,0,2,GBR,0,1,0,,129.6,2,Y
77429,20,9,38,15,0,3,1,0,0,1,AGO,0,1,0,,95,1,N
43528,75,9,38,19,2,2,2,0,0,2,PRT,0,1,0,,62,0,N
85099,0,3,11,6,2,1,2,0,0,2,AGO,0,4,1,,110,1,N
96086,167,8,35,26,1,2,2,0,0,2,SVK,0,1,0,,90.9,0,N
97360,1,3,10,7,4,10,1,0,0,1,ITA,0,4,0,153,95,2,N
119210,213,8,35,28,1,3,1,0,0,1,PRT,0,1,1,,104,0,N
59352,475,10,44,27,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
47766,52,3,10,3,0,3,2,0,0,2,GBR,0,1,0,,78.3,0,Y
57406,35,9,40,26,1,0,2,0,0,2,ESP,0,1,0,,99,0,Y
78680,12,10,44,25,2,1,2,0,0,2,PRT,1,1,0,,111,0,Y
66968,110,4,17,26,1,4,2,0,0,2,NOR,0,1,0,,100.8,0,Y
57217,296,9,39,21,0,4,2,0,0,2,PRT,0,1,0,,85,0,Y
54360,372,7,29,14,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
113209,0,6,22,3,0,1,2,0,0,2,US,0,1,0,,106.28,0,N
110478,140,4,17,28,2,2,2,0,0,2,FRA,0,1,2,,130,2,N
68916,69,5,21,22,1,3,2,0,0,2,BRA,0,4,0,,205.2,0,Y
61183,32,12,49,3,2,2,2,0,0,2,BEL,0,1,0,,104,0,Y
77585,18,12,51,18,0,1,1,0,0,1,PRT,0,1,0,40,74,0,N
107655,13,3,11,14,0,2,1,0,0,1,PRT,0,,1,,65,1,N
89372,92,5,21,19,0,1,2,0,0,2,GBR,0,,0,,135,0,N
107748,180,3,11,15,0,3,2,0,0,2,FRA,0,,0,,105,0,N
71487,180,7,27,6,0,3,2,0,0,2,DEU,0,,0,,89.1,0,Y
116193,214,7,28,13,0,3,2,0,0,2,FRA,0,,1,,99.9,1,N
75288,299,8,33,12,0,2,2,0,0,2,PRT,1,,0,,62,0,Y
45679,140,11,47,18,0,3,1,0,0,1,PRT,0,,1,,65,0,N
117773,158,7,31,31,3,6,3,0,0,3,BEL,0,,0,,132.5,1,N
98598,130,9,40,29,0,3,2,0,0,2,NLD,0,4,1,,139.5,2,N
112626,174,5,21,23,0,3,2,0,0,2,GBR,0,1,1,,99,1,N
118378,137,8,33,18,0,1,3,0,0,3,GBR,0,4,1,,195,1,N
90676,118,6,24,6,1,3,1,0,0,1,PRT,0,1,2,,110,1,N
89152,114,5,21,16,1,1,2,0,0,2,DEU,0,1,0,,94.5,0,N
112227,10,5,21,21,1,0,2,0,0,2,FRA,0,4,1,,170,1,N
64054,80,2,9,27,1,3,2,0,0,2,ITA,0,1,0,,74.8,1,Y
41907,55,8,35,26,0,2,1,0,0,1,ESP,0,1,1,,60,0,N
73965,279,7,30,23,0,2,2,0,0,2,PRT,1,1,0,,62,0,Y
100897,117,10,44,29,2,3,2,0,0,2,GBR,0,4,0,,122.94,1,N
86599,73,4,14,2,2,2,2,0,0,2,DEU,0,1,0,,80.75,0,N
113957,39,6,24,11,2,2,2,0,0,2,PRT,0,1,0,,112,3,N
42432,61,9,36,5,2,2,2,0,0,2,PRT,0,1,0,,62,0,Y
55996,105,8,35,26,1,2,2,0,0,2,US,0,4,0,,131.4,0,Y
79456,137,1,5,27,0,2,1,0,0,1,PRT,1,1,0,,70,0,Y
79370,43,10,44,29,1,3,2,0,0,2,PRT,1,1,0,,92.03,1,Y
99573,105,10,42,12,0,3,2,0,0,2,PRT,0,1,0,,75,0,N
118797,205,8,34,25,0,1,2,0,0,2,DEU,0,1,0,,99,0,N
73235,149,8,33,17,0,2,1,2,0,3,PRT,0,1,0,,152.5,1,Y
71670,187,7,28,9,2,3,2,0,0,2,ROU,0,4,0,,120.6,0,Y
98497,36,9,40,28,0,3,1,0,0,1,DEU,0,1,2,,76,0,N
111487,43,5,19,10,0,1,2,0,0,2,ZAF,0,1,0,,134.1,0,N
88665,0,5,20,9,1,0,2,0,0,2,POL,0,1,0,,89,0,N
55327,178,8,33,10,0,4,2,0,0,2,BEL,0,1,0,,89.25,0,Y
85417,21,3,11,12,2,1,2,0,0,2,ESP,0,1,0,,112,1,N
56482,258,9,37,8,0,1,2,0,0,2,PRT,0,1,0,,65,0,Y
108026,41,3,12,22,0,3,2,0,0,2,BRA,0,1,1,,75,0,N
88569,49,5,19,6,0,2,2,0,0,2,ESP,0,1,0,,85,0,N
91182,256,6,25,15,0,2,2,0,0,2,DEU,0,1,0,,112,1,N
115273,462,7,26,1,2,1,2,0,0,2,GBR,0,1,0,,112.67,1,N
114688,43,6,25,20,1,5,1,0,0,1,US,0,1,1,,101.33,1,N
100830,4,4,14,8,2,1,1,0,0,1,DZA,1,4,0,153,110,0,Y
82620,49,12,53,30,0,4,2,0,0,2,ITA,0,1,0,,71,0,N
69953,169,6,23,8,0,3,2,0,0,2,PRT,0,1,0,,170,0,Y
66222,87,4,15,15,2,2,2,0,0,2,PRT,0,1,0,,95,0,Y
66391,45,4,16,19,0,1,2,1,0,3,AUT,0,1,0,,144,0,Y
72328,243,7,30,26,0,4,2,0,0,2,PRT,0,1,0,,110,0,Y
103418,29,12,52,19,1,3,2,0,0,2,FRA,0,1,0,,88.4,0,N
94602,30,8,32,6,0,1,2,2,0,4,POL,0,6,2,,216.9,1,N
71490,175,7,27,6,0,3,2,0,0,2,DEU,0,4,0,,117.9,0,Y
82128,99,2,8,19,0,1,2,0,0,2,PRT,1,1,0,67,80,0,Y
61988,155,12,53,29,2,3,2,2,0,4,GBR,0,6,0,,148.58,1,Y
103419,29,12,52,19,1,3,1,0,0,1,FRA,0,1,0,,88.4,0,N
116340,7,7,28,12,2,4,2,0,0,2,BEL,0,1,0,,126,1,N
86272,2,3,13,29,0,1,1,0,0,1,PRT,1,1,0,219,80,1,N
112959,75,5,21,27,2,2,2,0,0,2,BEL,0,1,0,,99,0,N
41594,6,8,34,19,0,3,2,0,0,2,BEL,0,4,0,,79,0,N
44378,40,10,41,5,1,1,2,0,0,2,ITA,0,1,0,,70,0,N
85207,129,7,28,4,1,0,1,0,0,1,PRT,0,5,1,51,106,0,N
73393,143,8,34,20,2,1,2,0,0,2,ESP,0,1,0,,125,0,Y
64561,52,3,11,13,1,1,1,0,0,1,PRT,0,1,0,,80,0,Y
62181,36,1,1,3,0,5,1,0,0,1,ESP,0,1,0,,107,1,Y
97932,3,9,39,19,1,2,1,0,0,1,PRT,0,4,0,,110,0,N
89774,48,5,22,24,0,2,2,0,0,2,PRT,0,4,0,,140.4,1,N
46788,151,1,4,19,0,3,1,0,0,1,PRT,0,1,0,,80,0,Y
78907,34,10,43,18,1,0,2,0,0,2,PRT,0,1,0,,76.5,0,N
97631,0,9,38,16,1,2,1,0,0,1,GRC,0,1,1,,174.33,0,N
109460,96,4,15,9,2,1,2,0,0,2,BEL,0,1,0,,89.1,0,N
109791,53,4,15,13,1,3,2,0,0,2,NLD,0,4,0,,,1,N
52879,71,6,25,14,0,3,1,0,0,1,PRT,0,1,0,,,0,Y
81826,178,4,18,28,0,3,1,0,0,1,PRT,1,1,0,,,0,Y
89827,8,5,22,25,0,1,2,0,0,2,PRT,0,1,0,,,1,N
74283,295,8,32,8,2,1,2,0,0,2,PRT,1,1,0,,,0,Y
86960,-1,4,15,9,2,1,2,2,0,4,PRT,0,6,1,,,0,N
49184,274,4,15,7,0,2,2,0,0,2,PRT,0,1,0,,,0,Y
50472,121,5,19,2,1,0,2,0,0,2,FIN,0,1,6,,,1,N
75301,304,8,34,17,1,1,2,0,0,2,PRT,1,1,0,,,0,Y
63081,17,1,5,29,2,4,3,0,0,3,TUR,0,5,0,,,1,Y
85387,46,3,11,12,1,1,2,0,0,2,NZL,0,1,0,,,1,N
53628,26,6,27,26,2,1,2,0,0,2,DEU,0,1,0,,137.67,1,Y
74032,300,8,33,13,0,2,2,0,0,2,PRT,1,1,0,,62,0,Y
82552,41,12,53,30,0,3,2,0,0,2,FRA,0,4,0,,119,0,N
73500,93,8,34,24,1,3,3,0,0,3,US,0,4,2,,192,0,Y
88056,94,4,18,28,0,2,2,0,0,2,DEU,0,1,0,,111.6,0,N
98364,80,9,40,26,1,2,1,0,0,1,DEU,0,1,0,,0,0,N
82671,23,1,1,2,2,1,2,0,0,2,ITA,0,1,0,,109,0,N
103398,11,12,52,19,1,2,1,0,0,1,FIN,0,1,0,,86,0,N
100567,31,10,44,27,0,3,2,0,0,2,THA,0,1,3,,129,2,N
72075,264,7,29,20,0,2,2,0,0,2,ISR,0,1,0,,89.1,0,Y
52807,69,6,25,12,2,4,1,0,0,1,PRT,0,1,0,,120,0,Y
73420,147,8,34,21,1,2,2,0,0,2,ESP,0,1,2,,101.88,0,Y
107328,82,3,10,8,0,4,2,0,0,2,ITA,0,1,0,,74.8,0,N
76181,261,10,42,16,0,1,2,0,0,2,PRT,1,1,0,,120,0,Y
62937,61,1,4,25,0,2,2,0,0,2,PRT,0,1,0,,80,0,Y
71625,226,7,28,9,2,1,2,0,0,2,PRT,0,1,0,,110,0,Y
67403,82,5,18,3,0,2,2,0,0,2,PRT,0,1,0,,130,0,Y
110698,315,4,17,29,1,1,2,0,0,2,DEU,0,1,0,,99,1,N
51140,121,5,20,14,1,1,2,0,0,2,PRT,0,1,0,,96,0,Y
106146,12,2,8,20,1,1,1,0,0,1,ESP,0,1,0,,90,0,N
53122,0,6,25,16,0,1,2,0,0,2,PRT,0,1,0,45,0,0,Y
92269,121,6,27,26,2,5,2,0,0,2,PRT,0,1,0,,95.81,0,N
64660,130,3,11,14,2,5,2,0,0,2,DEU,0,1,0,,93.6,2,Y
113223,409,5,22,31,0,4,2,0,0,2,AUS,0,1,1,,107,1,N
61214,52,12,50,4,2,2,2,0,0,2,ITA,0,1,0,,74.8,0,Y
48987,101,4,15,4,1,2,2,0,0,2,PRT,0,1,0,,80,0,Y
73217,98,8,33,16,2,4,3,0,0,3,CHE,0,4,0,,195,0,Y
113783,214,6,23,9,1,2,2,0,0,2,GBR,0,4,1,,118.13,0,N
102964,16,12,50,8,0,2,2,0,0,2,PRT,0,1,0,40,75,0,N
53291,245,6,25,17,0,2,2,0,0,2,PRT,0,1,0,,75,0,Y
71614,6,7,28,9,2,0,1,0,0,1,PRT,0,4,0,153,95,1,Y
50009,69,4,17,22,1,2,2,0,0,2,FRA,0,4,0,,118.8,0,Y
100126,0,10,43,22,0,1,2,0,0,2,PRT,0,1,0,,120,0,N
65865,66,4,15,9,2,0,2,0,0,2,PRT,0,1,0,,100,0,Y
78738,287,7,30,23,2,1,2,0,0,2,PRT,1,1,0,,95.4,1,Y
109218,72,4,14,4,0,5,3,0,0,3,BEL,0,4,0,,162,2,N
51602,161,5,22,22,2,1,2,0,0,2,GBR,0,4,0,,114.3,1,N
114482,66,6,25,20,0,3,2,0,0,2,POL,0,4,0,,170,1,N
87786,58,4,17,21,2,3,2,0,0,2,FRA,0,5,0,,96.08,0,N
81977,115,3,13,20,2,0,1,0,0,1,PRT,1,1,0,,70,0,Y
72851,36,8,32,8,0,2,2,2,0,4,FRA,0,6,0,,250,0,Y
56905,66,9,38,15,0,2,2,0,0,2,CHE,0,4,0,,149.4,0,Y
74590,353,10,41,5,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
68786,200,5,20,20,2,1,2,0,0,2,AUT,0,4,0,,138.6,0,Y
108685,117,3,13,28,0,3,3,1,0,4,ITA,0,5,0,,145.2,0,N
100254,229,10,43,21,2,2,2,0,0,2,NLD,0,1,0,,80.75,2,N
75725,302,8,33,15,2,2,2,0,0,2,PRT,1,1,0,,62,0,Y
109584,97,4,15,10,1,3,2,0,0,2,ESP,0,1,0,,110.25,0,N
81634,130,4,16,13,0,4,2,0,0,2,PRT,1,1,0,,100,0,Y
52076,56,5,23,30,1,0,1,0,0,1,PRT,0,1,0,,120,0,Y
83398,2,1,5,29,0,2,2,0,0,2,PRT,0,1,0,,101,1,N
73098,164,8,33,14,1,3,2,1,0,3,FRA,0,1,0,,148.5,0,Y
101953,60,11,47,18,1,2,2,0,0,2,BEL,0,1,0,,93.6,1,N
58049,275,10,41,5,1,4,2,0,0,2,PRT,0,1,0,,90,0,Y
111306,144,5,18,6,2,1,2,0,0,2,FRA,0,1,0,,90,1,N
53747,167,6,27,28,0,4,2,0,0,2,BRA,0,1,0,,80.75,0,Y
72570,174,7,31,31,1,3,2,0,0,2,ESP,0,4,0,,184.5,0,Y
45313,69,10,44,25,2,1,2,0,0,2,PRT,0,1,0,,85.67,0,N
119378,185,8,35,30,1,4,2,0,0,2,CHE,0,1,0,,99,1,N
115667,155,7,27,3,1,5,1,0,0,1,FIN,0,4,0,,116.1,0,N
102159,215,11,48,21,1,2,1,0,0,1,ROU,0,1,2,233,75,1,N
66844,156,4,17,26,0,3,2,0,0,2,PRT,0,1,0,,100,0,Y
75757,312,8,35,25,0,4,2,0,0,2,PRT,1,1,0,,62,0,Y
92465,1,7,28,5,0,2,1,0,0,1,PRT,0,1,0,,99.33,1,N
103493,29,12,52,23,1,2,2,0,0,2,BEL,0,1,0,,104,0,N
77700,0,9,39,21,1,2,2,0,0,2,FRA,0,1,0,,125.7,0,N
69568,175,6,22,2,0,2,2,0,0,2,ESP,0,1,0,,144,0,Y
119250,131,8,35,27,2,3,2,0,0,2,DEU,0,4,0,,89.1,0,N
112282,16,5,20,19,1,2,1,0,0,1,POL,0,1,0,,160,1,N
41077,107,8,33,12,0,1,2,0,0,2,PRT,0,2,0,,76.5,0,N
89766,33,5,22,25,0,1,2,0,0,2,PRT,0,1,0,,108.9,0,N
96854,56,9,37,5,1,3,1,0,0,1,SWE,0,4,0,,123.98,2,N
113928,20,6,24,13,0,1,1,0,0,1,DEU,0,1,1,,95,0,N
93875,68,7,31,26,0,2,2,1,0,3,FRA,0,1,0,,111.25,0,N
69409,186,5,22,30,0,2,2,0,0,2,PRT,0,1,0,,130,0,Y
117922,14,8,32,9,0,3,4,0,0,4,PRT,0,7,0,,275.9,0,N
54579,384,7,30,20,0,2,2,0,0,2,PRT,0,1,0,,65,0,Y
112241,118,5,20,20,1,1,2,0,0,2,FRA,0,4,0,,135,0,N
78976,26,11,45,3,0,4,1,0,0,1,PRT,1,1,0,,85.85,1,Y
58341,183,10,42,11,0,1,1,0,0,1,FRA,0,1,0,,98.1,0,Y
75807,330,9,37,12,2,2,2,0,0,2,PRT,1,1,0,,62,0,Y
75239,297,8,33,10,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
63359,136,2,6,9,1,3,2,0,0,2,BEL,0,1,0,,74.8,3,Y
57229,440,9,39,22,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
67967,20,5,19,10,0,2,1,0,0,1,PRT,0,4,1,452,110,0,Y
96936,230,9,37,6,0,5,1,0,0,1,FRA,0,1,0,,111,0,N
65625,62,4,14,6,0,3,1,0,0,1,PRT,0,,0,,135,0,Y
104159,29,1,1,4,0,3,2,1,0,3,DEU,0,,0,,95,0,N
91800,192,6,26,24,0,2,1,0,0,1,GBR,0,,0,,95,0,N
82009,115,3,13,20,2,0,1,0,0,1,PRT,1,,0,,70,0,Y
80758,176,4,15,9,1,1,2,0,0,2,PRT,1,,0,,125,0,Y
101088,71,11,45,3,0,3,2,0,0,2,ESP,0,,0,,79.2,3,N
92083,83,6,27,27,1,2,2,0,0,2,IRL,0,,0,,74.1,0,N
85444,41,3,12,13,2,1,2,0,0,2,POL,0,,0,193,85.67,0,N
65146,278,3,12,25,2,1,2,0,0,2,PRT,0,,0,,90,0,Y
56184,175,8,36,31,0,4,2,0,0,2,SWE,0,,0,,112.63,0,Y
86398,54,3,14,28,1,4,2,0,0,2,FRA,0,5,0,,95.36,0,N
43663,71,9,39,22,0,3,1,0,0,1,DEU,0,1,1,,85,0,N
51820,323,5,22,26,0,2,2,0,0,2,PRT,0,1,0,,62,0,Y
88111,59,4,18,28,0,3,2,0,0,2,CHE,0,1,0,,80.75,0,N
88936,122,5,20,12,0,3,2,0,0,2,DEU,0,4,0,,121.5,1,N
41746,138,8,34,22,2,1,2,0,0,2,ITA,0,1,0,,94.5,0,Y
42458,55,9,37,6,2,0,2,0,0,2,PRT,0,1,0,,75,0,Y
67953,35,5,19,10,0,1,2,0,0,2,PRT,0,1,0,,130,0,Y
113412,18,6,23,5,1,1,2,0,0,2,CHE,0,1,0,,130,1,N
54593,99,7,30,21,0,1,2,1,0,3,ESP,0,1,0,,130.5,0,Y
53839,206,6,27,30,1,3,2,0,0,2,US,0,5,0,,101.83,0,N
56263,60,9,36,2,0,2,2,0,0,2,BRA,0,4,0,,123.3,0,Y
90713,118,6,24,6,1,3,1,0,0,1,HUN,0,1,1,,110,0,N
45147,65,10,43,19,1,2,2,0,0,2,SWE,0,1,0,,111,0,N
113590,22,6,23,7,0,2,3,0,0,3,JPN,0,4,0,,144.4,1,N
68232,104,5,20,15,1,2,1,0,0,1,PRT,0,1,0,,160,0,Y
65966,52,4,15,11,0,3,2,0,0,2,PRT,0,1,0,,100.8,1,Y
45683,140,11,47,18,0,3,2,0,0,2,PRT,0,1,0,,75,1,N
119125,0,8,35,29,0,1,1,0,0,1,PRT,0,1,0,72,0,2,N
50421,54,4,18,30,1,1,1,0,0,1,GBR,0,1,1,,91.13,0,Y
60743,71,11,47,19,2,2,2,0,0,2,PRT,0,1,0,,88.4,1,Y
66404,69,4,16,19,0,4,2,0,0,2,PRT,0,1,0,,100,0,Y
49768,103,4,17,19,0,2,1,0,0,1,PRT,0,1,0,,115,0,Y
45780,98,11,48,23,1,2,1,0,0,1,PRT,0,1,0,,70,0,Y
77614,0,9,39,22,0,1,2,0,0,2,PRT,0,1,0,45,0,0,N
82636,38,12,53,31,0,3,2,0,0,2,FRA,0,1,0,,118,1,N
79195,87,1,2,5,0,5,2,2,0,4,PRT,1,6,0,,153,0,Y
94553,146,8,32,5,0,1,2,0,0,2,GBR,0,1,0,,81.25,1,N
74533,332,9,38,14,1,1,2,0,0,2,PRT,1,1,0,,62,0,Y
109971,10,4,16,16,2,2,3,0,0,3,DEU,0,5,0,,250,2,N
51445,198,5,21,20,0,1,1,0,0,1,PRT,0,1,1,,57.5,0,Y
117193,232,7,31,30,1,0,2,0,0,2,BGR,0,1,0,,130.5,2,N
70247,49,6,24,12,1,3,2,0,1,3,PRT,0,1,0,,89.1,0,Y
50686,130,5,19,5,0,3,2,1,0,3,ESP,0,1,2,,104.4,1,N
70396,141,6,24,16,1,2,1,0,0,1,PRT,0,4,0,,104,0,Y
113720,0,6,23,10,0,1,2,0,0,2,PRT,0,1,0,,144,2,N
63254,29,2,5,3,1,2,2,1,0,3,CHN,0,1,0,,106.2,0,Y
85262,46,3,11,10,0,2,1,0,0,1,NLD,0,1,2,,82.9,1,N
86067,4,3,13,26,0,1,3,0,0,3,KOR,0,4,0,,187,1,N
70580,33,6,25,19,1,1,1,0,0,1,GBR,0,4,2,,150,1,Y
78368,7,10,43,22,0,1,1,0,0,1,PRT,1,1,0,40,65,0,N
86945,7,4,16,11,1,0,1,0,0,1,NLD,0,1,0,,89,0,N
67601,108,5,18,5,0,2,2,0,0,2,ESP,0,1,0,,126,0,Y
106197,29,2,8,19,2,2,2,0,0,2,GBR,0,1,0,,85,1,N
72764,63,8,31,5,2,3,2,0,0,2,DNK,0,1,0,,160,1,Y
103490,30,12,52,22,1,3,2,2,0,4,KOR,0,6,0,,156.9,0,N
62718,72,1,3,19,0,3,2,0,0,2,ITA,0,4,0,,102.6,1,Y
